2024-06-30 22:06:427 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:886 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (8a4bb17d5bb8647018d79a78bab7b6ae)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-06-30 22:06:544 INFO  AddCustomerPage :18 - click on add customer[[ChromeDriver: chrome on windows (8a4bb17d5bb8647018d79a78bab7b6ae)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]]
2024-06-30 22:06:893 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:168 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-06-30 22:06:728 INFO  AddCustomerPage :18 - click on add customer[[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]]
2024-06-30 22:06:441 INFO  AddCustomerPage :28 - click on add name[[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[1]/input[1]]
2024-06-30 22:06:663 INFO  AddCustomerPage :38 - click on add name[[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[2]/input[1]]
2024-06-30 22:06:884 INFO  AddCustomerPage :48 - click on add postcode[[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/div[3]/input[1]]
2024-06-30 22:06:79 INFO  AddCustomerPage :58 - click on add button [[ChromeDriver: chrome on windows (805b11e52e5c29769890d2bf963ca94f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/form[1]/button[1]]
2024-06-30 22:06:995 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:420 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (108d13b6fa8e354f75bfa565a74b26f2)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-06-30 22:06:37 INFO  AddCustomerPage :18 - click on add customer[[ChromeDriver: chrome on windows (108d13b6fa8e354f75bfa565a74b26f2)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[1]]
2024-06-30 22:06:490 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:918 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (a83be25f6b706f04466e44dcdb134624)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-06-30 22:06:528 INFO  OpenAccountPage :32 - click on open account[[ChromeDriver: chrome on windows (a83be25f6b706f04466e44dcdb134624)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[2]]
2024-06-30 22:06:342 INFO  OpenAccountPage :38 - Select customer[[ChromeDriver: chrome on windows (a83be25f6b706f04466e44dcdb134624)] -> id: userSelect]
2024-06-30 22:06:162 INFO  OpenAccountPage :44 - Select currency[[ChromeDriver: chrome on windows (a83be25f6b706f04466e44dcdb134624)] -> id: currency]
2024-06-30 22:06:410 INFO  OpenAccountPage :50 - click on button [[ChromeDriver: chrome on windows (a83be25f6b706f04466e44dcdb134624)] -> xpath: //button[contains(text(),'Process')]]
2024-06-30 22:06:30 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:34 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:381 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:954 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:17 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:192 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:696 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:66 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:879 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:329 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 22:06:824 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-06-30 22:06:855 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //select[@id='userSelect']]
2024-06-30 22:06:40 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //button[contains(text(),'Login')]]
2024-06-30 22:06:656 INFO  AccountPage :36 - click on deoposit[[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-06-30 22:06:361 INFO  AccountPage :42 - click on deoposit[[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-06-30 22:06:546 INFO  AccountPage :48 - click on deoposit[[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-06-30 22:06:589 INFO  AccountPage :86 - verify transaction [[ChromeDriver: chrome on windows (2158601447a47c989ffb526af27ff39d)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2024-06-30 23:06:923 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 23:06:698 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 23:06:232 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-30 23:06:265 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> xpath: //select[@id='userSelect']]
2024-06-30 23:06:437 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> xpath: //button[contains(text(),'Login')]]
2024-06-30 23:06:42 INFO  AccountPage :54 - click on deoposit[[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-06-30 23:06:597 INFO  AccountPage :64 - withdraw amount [[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> tag name: input]
2024-06-30 23:06:786 INFO  AccountPage :76 - click on withdraw[[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[4]/div[1]/form[1]/button[1]]
2024-06-30 23:06:847 INFO  AccountPage :96 - verify transaction [[ChromeDriver: chrome on windows (ec4f41581d99d79766ae933cb19c2c4f)] -> xpath: //span[contains(text(),'Transaction successful')]]
2024-07-01 13:07:802 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-07-01 14:07:246 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-07-01 14:07:707 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (e95bc6142e83bebe72b8fb5b1455e37f)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-07-01 14:07:430 INFO  OpenAccountPage :32 - click on open account[[ChromeDriver: chrome on windows (e95bc6142e83bebe72b8fb5b1455e37f)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[2]]
2024-07-01 14:07:163 INFO  OpenAccountPage :38 - Select customer[[ChromeDriver: chrome on windows (e95bc6142e83bebe72b8fb5b1455e37f)] -> id: userSelect]
2024-07-01 14:07:325 INFO  OpenAccountPage :44 - Select currency[[ChromeDriver: chrome on windows (e95bc6142e83bebe72b8fb5b1455e37f)] -> id: currency]
2024-07-01 14:07:427 INFO  OpenAccountPage :50 - click on button [[ChromeDriver: chrome on windows (e95bc6142e83bebe72b8fb5b1455e37f)] -> xpath: //button[contains(text(),'Process')]]
2024-07-01 14:07:144 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-07-01 14:07:434 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-01 14:07:54 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //select[@id='userSelect']]
2024-07-01 14:07:135 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //button[contains(text(),'Login')]]
2024-07-01 14:07:817 INFO  AccountPage :36 - click on deoposit[[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-01 14:07:455 INFO  AccountPage :42 - click on deoposit[[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-01 14:07:588 INFO  AccountPage :48 - click on deoposit[[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-01 14:07:613 INFO  AccountPage :86 - verify transaction [[ChromeDriver: chrome on windows (48b2a0ab8d8a27a65201a0522fd1f72e)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2024-07-01 14:07:508 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-07-01 14:07:205 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (07b1df5d0e502231e23579400e441389)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
